ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Updated.gene.symbol	Updated.gene.title
657_at	0.00615	0.00128	3.43	-1.51483	0.737	BMPR1A	bone morphogenetic protein receptor type 1A	BMPR1A	bone morphogenetic protein receptor type 1A
658_at	0.477	0.289	-1.07	-6.22225	-0.00311	BMPR1B	bone morphogenetic protein receptor type 1B	BMPR1B	bone morphogenetic protein receptor type 1B
659_at	0.658	0.482	-0.709	-6.54235	-0.0614	BMPR2	bone morphogenetic protein receptor type 2	BMPR2	bone morphogenetic protein receptor type 2
9790_at	0.0103	0.00238	-3.22	-2.09159	-0.388	BMS1	BMS1, ribosome biogenesis factor	BMS1	BMS1, ribosome biogenesis factor
154743_at	0.682	0.507	0.669	-6.57015	0.0938	BMT2	base methyltransferase of 25S rRNA 2 homolog	BMT2	base methyltransferase of 25S rRNA 2 homolog
660_at	5.2e-05	4.06e-06	5.24	3.99951	1.73	BMX	BMX non-receptor tyrosine kinase	BMX	BMX non-receptor tyrosine kinase
646_at	2.43e-06	9.57e-08	-6.33	7.64922	-2.04	BNC1	basonuclin 1	BNC1	basonuclin 1
54796_at	0.608	0.43	-0.797	-6.4766	-0.249	BNC2	basonuclin 2	BNC2	basonuclin 2
662_at	0.721	0.551	-0.601	-6.61335	-0.0922	BNIP1	BCL2 interacting protein 1	BNIP1	BCL2 interacting protein 1
663_at	0.922	0.788	-0.271	-6.75792	-0.0318	BNIP2	BCL2 interacting protein 2	BNIP2	BCL2 interacting protein 2
664_at	1	0.904	-0.122	-6.78735	-0.0338	BNIP3	BCL2 interacting protein 3	BNIP3	BCL2 interacting protein 3
665_at	0.498	0.308	1.03	-6.26553	0.192	BNIP3L	BCL2 interacting protein 3 like	BNIP3L	BCL2 interacting protein 3 like
149428_at	4.58e-07	1.16e-08	6.95	9.71445	2.82	BNIPL	BCL2 interacting protein like	BNIPL	BCL2 interacting protein like
91653_at	1.32e-07	2.31e-09	7.41	11.28698	2.27	BOC	BOC cell adhesion associated, oncogene regulated	BOC	BOC cell adhesion associated, oncogene regulated
91272_at	0.344	0.184	-1.35	-5.89476	-0.169	BOD1	biorientation of chromosomes in cell division 1	BOD1	biorientation of chromosomes in cell division 1
259282_at	0.95	0.827	-0.22	-6.77042	-0.0342	BOD1L1	biorientation of chromosomes in cell division 1 like 1	BOD1L1	biorientation of chromosomes in cell division 1 like 1
666_at	0.424	0.244	-1.18	-6.10247	-0.218	BOK	BOK, BCL2 family apoptosis regulator	BOK	BOK, BCL2 family apoptosis regulator
51027_at	0.447	0.264	1.13	-6.15722	0.216	BOLA1	bolA family member 1	BOLA1	bolA family member 1
388962_at	0.801	0.642	-0.468	-6.68461	-0.0852	BOLA3	bolA family member 3	BOLA3	bolA family member 3
66037_at	0.999	0.893	0.136	-6.78556	0.000289	BOLL	boule homolog, RNA binding protein	BOLL	boule homolog, RNA binding protein
79866_at	3.34e-06	1.4e-07	-6.22	7.27579	-1.55	BORA	bora, aurora kinase A activator	BORA	bora, aurora kinase A activator
118426_at	0.00926	0.0021	-3.26	-1.97596	-0.406	BORCS5	BLOC-1 related complex subunit 5	BORCS5	BLOC-1 related complex subunit 5
54785_at	0.154	0.0645	1.89	-5.05229	0.0356	BORCS6	BLOC-1 related complex subunit 6	BORCS6	BLOC-1 related complex subunit 6
119032_at	0.00019	1.96e-05	4.77	2.47854	0.674	BORCS7	BLOC-1 related complex subunit 7	BORCS7	BLOC-1 related complex subunit 7
729991_at	0.899	0.759	0.309	-6.74679	0.0156	BORCS8	BLOC-1 related complex subunit 8	BORCS8	BLOC-1 related complex subunit 8
4207_at	0.189	0.0836	1.77	-5.26799	0.0417	BORCS8-MEF2B	BORCS8-MEF2B readthrough	BORCS8-MEF2B	BORCS8-MEF2B readthrough
669_at	0.000686	9.09e-05	-4.29	1.00005	-1.1	BPGM	bisphosphoglycerate mutase	BPGM	bisphosphoglycerate mutase
670_at	0.55	0.37	-0.905	-6.38562	-0.164	BPHL	biphenyl hydrolase like	BPHL	biphenyl hydrolase like
