Updated.gene.symbol	logFC	P.Value
APOBEC3B	-2.34256145	1.03e-08
APOBEC3C	0.27288103	0.108
APOBEC3F	-0.04739452	0.865
APOBEC3G	-1.29576043	0.000152
APOC1	-0.85840334	0.0415
APOC3	0.63547854	0.00134
APOC4-APOC2///APOC4///APOC2	0.88225016	0.000207
APOD	3.74930025	3.23e-09
APOE	-1.02973105	0.0242
APOF	0.5020045	0.0493
APOH	1.17683414	0.00109
APOL1	-2.17115983	1.63e-08
APOM	0.7753092	0.000494
APOOL	1.5910525	1.32e-06
APP	-1.12333045	7.04e-07
APPBP2	0.65456834	0.00485
APRT	-1.1463823	1.32e-06
AQP1	0.98797227	0.000311
AQP2	0.70686669	5.95e-05
AQP3	-1.85041723	0.00182
AQP4	2.1201226	4.77e-06
AQP5	0.93961369	8.1e-05
AQP6	0.53905691	0.0118
AQP7P5///LOC101930168///LOC100509620///AQP7P1///AQP7	1.15852955	2.87e-05
AQP8	0.95419967	0.000183
AQP9	0.51908842	0.0981
AQR	0.69214266	0.00244
AR	1.95597657	2.85e-08
ARAF	0.65006153	5.75e-07
ARAP1	0.12060775	0.357
ARAP2	-0.86095242	0.00248
ARC	0.46589701	0.00542
ARCN1	-0.3866	0.0148
AREG	-2.3628413	1.35e-06
AREL1	-0.24131326	0.0826
ARF3	-0.51255502	0.000467
ARF4	-0.66161257	0.000437
ARF5	-0.53548964	7.77e-07
ARF6	-1.25038614	0.00144
ARFGAP2	0.26325413	0.00801
ARFGAP3	-0.40486858	0.15
ARFGEF1	-0.60746805	1.77e-05
ARFGEF2	0.64332416	0.00105
ARFIP1	0.11702845	0.563
ARFIP2	-0.85882996	0.00101
ARFRP1	-0.58621677	0.000649
ARG1	0.05265916	0.906
ARG2	0.54636257	0.0965
ARHGAP1	-0.77223665	7.84e-05
ARHGAP11A	0.17286679	0.657
ARHGAP12	1.00606425	1.24e-07
ARHGAP19	0.3601901	0.189
ARHGAP22	-0.29396771	0.188
ARHGAP25	0.08323232	0.657
ARHGAP26	0.62972582	0.000813
ARHGAP29	0.80685569	0.0039
ARHGAP32	-0.20333982	0.485
ARHGAP33	0.82854577	0.00243
ARHGAP35	0.65195866	0.0181
ARHGAP4	-0.26026318	0.434
ARHGAP44	0.64594077	0.0242
ARHGAP45	-0.47920584	0.227
ARHGAP5	-0.70168614	0.0102
ARHGAP6	0.74475799	1.46e-05
ARHGDIA	-1.21191573	9.96e-07
ARHGDIB	-0.551068	0.054
ARHGEF10	0.09139068	0.776
ARHGEF11	0.08468222	0.732
ARHGEF12	0.80522397	0.000809
ARHGEF15	0.88940939	2.36e-06
ARHGEF16	0.53899253	0.0123
ARHGEF17	-0.49726988	0.109
ARHGEF18	-0.78907587	1.88e-05
ARHGEF2	0.60510256	0.00393
ARHGEF5	-1.16788606	0.000114
ARHGEF6	1.21641145	1.22e-07
ARHGEF7	0.26652577	0.0417
ARHGEF9	0.15022422	0.62
ARID1A	0.81036897	1.03e-05
ARID3A	0.33027581	0.0566
ARID4A	0.53246087	0.00367
ARID4B	0.63702498	0.00219
ARID4B///RBM34	-0.4444825	0.0197
ARID5A	0.2479488	0.236
ARID5B	0.24464985	0.178
ARIH1	0.03913399	0.773
ARIH2	0.82107612	9.57e-11
ARL1	-0.66419136	0.0116
ARL17B///ARL17A	0.58856338	0.000382
ARL2	0.41272391	0.000269
ARL2-SNX15///SNX15	0.13380383	0.591
ARL2BP	-0.58040141	2.43e-07
ARL3	0.81620715	0.00143
ARL4A	-0.04474685	0.841
ARL4C	-1.43824465	6.63e-06
ARL4D	-0.017498	0.96
ARL6IP1	-0.58122944	2.95e-05
ARL6IP5	0.86037354	3.67e-07
ARMC2-AS1///ATP5J2	-0.0936182	0.566
ARMC6	0.11547302	0.554
ARMC8	0.50142642	0.0925
ARMCX2	1.19817837	0.003
ARMCX4	0.02609096	0.935
ARMCX6	0.07438226	0.691
ARNT	0.29406519	0.14
ARNT2	1.30251724	1.04e-06
ARNTL	-0.69627851	0.0286
ARPC1A	-0.64345599	1.61e-06
ARPC1B	-2.15502755	1.01e-12
ARPC2	-0.81473962	4.18e-09
ARPC3	-0.82520443	5.72e-07
ARPC4	-0.33041678	0.00959
ARPC4-TTLL3///TTLL3///ARPC4	0.79917178	0.00369
ARPC5	-1.11782402	3.29e-08
ARPP19	0.63911143	0.00282
ARR3	0.3101814	0.136
ARRB2	-0.38318935	0.0551
ARSA	-0.50362668	0.0168
ARSB	0.23904146	0.417
ARSD	0.24934387	0.338
ARSE	0.18924411	0.192
ARSF	0.64853455	0.0243
ART1	0.42662438	0.0608
ART3	3.3727458	1.04e-06
ART4	0.31584038	0.134
ARTN	0.42666501	0.138
ARVCF	0.48065361	0.000778
ASAH1	1.03514428	7.14e-07
ASAP2	-0.28933945	0.119
ASB1	-0.07881938	0.738
ASB4	1.32793023	0.00015
ASB9	0.70518864	0.00876
ASCC2	-0.04619437	0.736
ASCC3	-1.72846774	2.94e-07
ASCL1	0.377828	0.219
ASCL2	0.22318323	0.358
ASF1A	0.57624377	0.00161
ASGR1	0.80971922	0.00321
ASGR2	0.58874029	0.0315
ASH2L	0.07877394	0.626
ASIC1	0.48539349	0.0509
ASIC2	0.74178089	0.00146
ASIC3	0.45999865	0.086
ASIP	0.47484628	0.0812
ASL	-0.97428755	0.0016
ASMT	0.54064948	0.0694
ASMTL	0.52511785	0.00314
ASNA1	-1.37321954	6.19e-05
ASNS	-0.08231843	0.631
ASPA	2.56811308	1.65e-10
ASPH	-1.00909306	0.00022
ASPHD1	0.47939392	0.13
ASS1	0.25599223	0.161
ASTN1	1.27608594	0.00226
ASTN2	0.55370302	0.0416
ASXL1	0.26257924	0.0529
ASXL3	0.86113249	0.0356
ATAD2B	0.6687712	0.0522
ATF1	0.10687228	0.579
ATF2	0.44888164	0.0846
ATF3	0.57117926	0.17
ATF4	0.20947891	0.112
ATF5	-0.05548113	0.645
ATF6	-0.16838512	0.283
ATF6B	0.55370274	0.0454
ATF7	0.83084605	0.0109
ATG12	0.74038048	0.0181
ATG13	-0.50898071	0.00465
ATG14	0.27337699	0.0368
ATG2A	-0.0975253	0.568
ATG4A	0.55080712	0.0206
ATG4B	0.14531499	0.617
ATG5	0.79493186	2.39e-05
ATG9A	0.26250178	0.00866
ATIC	-0.64377257	0.00106
ATM	0.87779557	0.000159
ATMIN	0.1236202	0.393
ATN1	0.76733518	0.000651
ATOX1	-0.4818067	0.000412
ATP10A	0.67101411	0.0143
ATP10B	0.28449134	0.136
ATP10D	-1.45532291	6.25e-08
ATP11A	0.46249767	0.000676
ATP11B	-0.65383071	2.94e-05
ATP12A	1.33119885	8.95e-05
ATP13A3	-1.45536582	4.26e-09
ATP1A1	-0.03059599	0.851
ATP1A2	3.80323941	1.66e-08
ATP1B1	0.57609579	0.0213
ATP1B2	1.36749682	1.4e-06
ATP1B3	-1.73822711	8.45e-09
ATP2A1	4.37769028	5.73e-07
ATP2A2	2.10439094	2.26e-06
ATP2A3	0.4879731	0.0593
ATP2B1	-0.6532891	0.00803
ATP2B2	1.58974069	3.95e-05
ATP2B3	0.64309328	0.00686
ATP2B4	-0.52390994	0.0696
ATP2C1	-0.32613964	0.0188
ATP2C2	0.44399238	0.0353
ATP4A	0.63372106	0.00063
ATP4B	0.78208754	0.0221
ATP5A1	1.14441455	9.64e-07
ATP5B	1.01588857	0.000173
ATP5C1	0.23464658	0.204
ATP5D	1.01273491	1.14e-06
ATP5F1	0.45930428	0.00439
ATP5G1	0.43122597	0.00639
ATP5G2	1.22701012	1.74e-05
ATP5G3	0.45371044	0.00526
ATP5H	0.32296229	0.0884
ATP5I	0.40754475	0.00721
ATP5J	0.82986819	3.99e-05
ATP5J2	0.66424737	0.0174
ATP5L	0.94378445	2.49e-07
ATP5O	0.76780558	0.000157
ATP5S	0.66133835	0.000864
ATP6AP1	-0.20165383	0.192
ATP6AP2	-0.78109245	0.000231
ATP6V0A1	0.58650142	0.021
ATP6V0A2	0.17928489	0.0982
ATP6V0B	-0.62496412	1.16e-06
ATP6V0C	-0.05318204	0.698
ATP6V0D1	-0.4155433	0.000126
ATP6V0E1	0.67983461	0.000199
ATP6V0E2	0.96877871	1.28e-06
ATP6V1A	-0.98544359	1.25e-05
ATP6V1B1	0.76964793	0.000365
ATP6V1B2	-0.16918154	0.104
ATP6V1C1	-0.45257655	0.00238
ATP6V1D	-0.62966224	0.00616
ATP6V1E1	-0.48069368	0.00127
ATP6V1G1	-0.52073544	0.000773
ATP6V1G2	1.3085061	2.8e-05
ATP6V1G2-DDX39B///SNORD84///DDX39B	-0.26690019	0.0368
ATP6V1H	-0.53595539	0.00365
ATP7A	0.49367725	0.0207
ATP7B	1.18018785	0.000559
ATP8A1	1.96089989	2.95e-07
ATP8A2	0.49954978	0.0548
ATP8B1	0.15090973	0.429
ATP8B3	0.89171532	0.000575
ATP9A	0.32925332	0.0726
ATP9B	0.68236971	0.000528
ATPAF2	0.82716042	0.00144
ATR	-0.67346679	5.33e-06
TREX1	0.27107699	0.118
ATRN	-0.93721538	0.00969
ATRNL1	1.06407888	0.00143
ATRX	1.81203698	1.2e-07
ATXN1	-0.13188851	0.37
ATXN10	0.47829447	0.000282
ATXN2	0.13344233	0.345
ATXN2L	-0.55364558	0.00772
ATXN3	0.69244424	0.000129
ATXN7	0.66633785	0.0112
ATXN7L1	0.70747934	0.000394
ATXN7L3B	0.80509305	0.000184
AUH	0.71741721	5.6e-06
AURKA	-0.89827607	4.96e-05
AURKB	-0.57476252	0.000227
AURKC	1.68081558	2.43e-07
AUTS2	-0.05533842	0.754
AVIL	0.60024325	0.0215
AVL9	-0.50028642	0.068
AVP	0.41299439	0.0175
AVPR1A	0.41294878	0.143
AVPR1B	0.47395525	0.00755
AVPR2	1.07712179	4.9e-05
AXIN1	-1.2826966	1.06e-07
AXL	-0.39869044	0.257
AZGP1	2.55264713	0.00119
AZIN1	-0.44897895	0.0472
AZU1	0.53039351	0.00106
B2M	-1.16198715	5.76e-07
B3GALNT1	0.07959964	0.825
B3GALT2	1.10448553	0.007
B3GALT4	0.77345285	0.00789
B3GALT5	0.49653659	0.0536
B3GAT2	0.44694778	0.0614
B3GAT3	-0.2094033	0.199
B3GNT3	0.29335622	0.236
B3GNTL1	0.81083377	0.000531
B4GALNT1	0.27730193	0.201
B4GALT1	-0.45279039	0.000392
B4GALT2	-0.53764113	6.67e-05
B4GALT3	-0.00624949	0.955
B4GALT4	-0.85097653	0.0101
B4GALT5	0.82871183	0.000488
B4GALT6	1.0503498	0.00379
B4GAT1	0.88088366	0.00147
B9D1	0.13502774	0.489
BAAT	0.52003751	0.0222
BAD	-0.1638432	0.359
BAG1	0.36372539	0.0676
BAG2	0.57040542	0.0644
BAG5	-0.49913648	5.14e-05
BAG6	0.13515888	0.287
BAGE	1.49026356	0.00069
BAHD1	0.24655554	0.06
BAIAP2	-1.10502127	0.000481
BAIAP3	0.63923814	8.02e-05
BAK1	-2.32651933	3.73e-12
BAMBI	0.3951082	0.074
BANF1	0.14681441	0.269
BAP1	-0.58896728	0.00176
BARD1	0.06814169	0.632
BARX2	0.74278849	0.015
BASP1	-1.73917257	2.36e-10
BATF	-0.17954244	0.548
BAX	-1.7461194	0.000129
BAZ1A	-1.08610704	3e-09
BAZ1B	-0.01491927	0.909
BAZ2A	-0.04621002	0.76
BAZ2B	0.5420915	0.00032
BBIP1	0.22470718	0.343
BBOX1	-1.16909207	0.00908
BBS4	0.26285666	0.382
BBS9	0.9780536	0.00588
BBX	-0.06390539	0.714
BCAM	1.0772847	7.9e-06
BCAP29	-0.66767868	0.00642
BCAP31	-1.07041038	1.1e-08
BCAR3	-0.36180134	0.181
BCAS1	1.13748186	0.00208
BCAS2	-0.11061127	0.684
BCAT1	0.15108248	0.635
BCAT2	0.10760998	0.693
